company_name,Anzahl der Jobangebote
Aptiv plc,38
Baader Bank AG,38
Lufthansa Industry Solutions AS GmbH,38
Beam,37
Rhenus Assets & Services GmbH & Co. KG,37
trivago N.V.,37
synaigy GmbH,37
Daiichi Sankyo Europe GmbH,37
QIAGEN GmbH,37
OBI GmbH & Co. Deutschland KG,37
Simon-Kucher & Partners,36
Oviva,36
Cocomore AG,36
ANavS GmbH,36
Capgemini Engineering,36
AWS EMEA SARL (Germany Branch),36
STRABAG BRVZ GmbH & Co. KG,36
IT-Systemhaus der Bundesagentur für Arbeit,36
pi3g e.K.,36
NTT,36
Collaboration Betters The World GmbH,36
LeanIX GmbH,36
S-Communication Services GmbH,36
Rheinmetall IT Solutions GmbH,35
DeepL,35
Grohe AG,35
Mobil ISC GmbH,35
BMG RIGHTS MANAGEMENT GmbH - Corporate,35
PD - Berater der öffentlichen Hand GmbH,35
BNP Paribas Leasing Solutions,35
Fressnapf Holding SE,34
fernao magellan GmbH,34
arocom GmbH,34
Daimler Truck AG,34
Aldi Nord,34
Finanz Informatik GmbH & Co. KG,34
asklio,34
EVACO,34
Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,34
Galimedix GmbH,34
EY,34
Akkodis,34
SURI Ventures GmbH,33
Dassault Systemes Deutschland GmbH,33
MIRA GmbH,33
Sprinklr,33
Klinikum der Universität München,33
1&1 Versatel GmbH,33
Hochschule Ruhr West,32
Immatics Biotechnologies GmbH,32
Lebenshilfe Dortmund Wohnen gemeinnützige GmbH,32
Rhenus Data Office GmbH,32
adesso benefit solutions GmbH,32
Hays – Working for your tomorrow,32
JOHNSON CONTROLS,32
Bauer Media Group,31
DELO Industrie Klebstoffe GmbH & Co. KGaA,31
SAP,31
ZAUBAR,31
RWE Renewables Europe & Australia GmbH,31
Ruhr-Universität Bochum,31
Mercedes-Benz Group AG,31
abcfinance GmbH,31
n8n,31
Ebury,30
velpTEC GmbH,30
Fude + Serrahn Milchprodukte GmbH & Co.KG,30
Peras GmbH,30
Vista,30
ISAP AG,30
Apple,30
Conxai Technologies GmbH,30
Simplifier AG,30
Universität der Bundeswehr München,30
ALH Gruppe,30
UBA Software GmbH,30
Coinbase Germany GmbH,29
Datacenter One GmbH,29
Valeo,29
Careforce GmbH,29
TERRITORY GmbH,29
ProSiebenSat.1 Careers,29
CENTRIC SOFTWARE INC,29
Information und Technik Nordrhein-Westfalen IT.NRW,29
Imerys Services Germany GmbH & Co. KG,29
Holtzbrinck Buchverlage GmbH,29
Data - Sec GmbH,29
HypoVereinsbank - UniCredit - Deutschland,29
Miltenyi Biotec B.V. & Co. KG,29
VIVAVIS AG,29
RTL Technology GmbH,29
DKV Mobility Group SE,28
BTC Business Technology Consulting AG,28
ExperTeach Gesellschaft für Netzwerkkompetenz mbH,28
HSH+S Management und Personalberatung GmbH,28
